id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,begin_season,finish_season,match_year,country_name,league_name,home_team_name,away_team_name,winning_team
1,1,2008/2009,1,2008-08-17,492473,9987,9993,1,1,1.73,3.4,5.0,1.75,3.35,4.2,1.85,3.2,3.5,1.8,3.3,3.75,1.7,3.3,4.33,1.65,3.4,4.5,2008,2009,2008,Belgium,Belgium Jupiler League,KRC Genk,Beerschot AC,Draw
483,1,2009/2010,5,2009-08-30,665353,9987,9993,1,1,1.75,3.5,4.33,1.8,3.4,3.95,1.7,3.3,4.0,1.72,3.4,4.0,1.7,3.3,4.33,1.8,3.3,4.0,2009,2010,2009,Belgium,Belgium Jupiler League,KRC Genk,Beerschot AC,Draw
524,1,2010/2011,1,2010-08-01,838476,9987,9993,2,1,1.91,3.3,3.75,1.91,3.3,3.7,1.9,3.2,3.4,1.91,3.2,3.5,1.83,3.3,4.0,1.8,3.3,3.8,2010,2011,2010,Belgium,Belgium Jupiler League,KRC Genk,Beerschot AC,Home
759,1,2011/2012,1,2011-07-30,1032694,9987,9993,3,1,1.44,4.33,7.0,1.45,3.95,6.25,1.5,3.7,5.0,1.44,3.75,6.0,1.4,4.33,7.0,1.44,4.5,7.0,2011,2012,2011,Belgium,Belgium Jupiler League,KRC Genk,Beerschot AC,Home
1014,1,2012/2013,11,2012-10-20,1224064,9987,9993,3,0,1.5,4.0,6.5,1.5,4.0,5.5,1.45,4.0,5.5,1.5,4.0,5.5,1.53,4.2,5.0,1.5,4.5,6.25,2012,2013,2012,Belgium,Belgium Jupiler League,KRC Genk,Beerschot AC,Home
30,1,2008/2009,12,2008-11-15,492584,10000,9993,2,2,2.0,3.25,3.5,2.1,3.2,3.2,2.0,3.1,3.2,2.0,3.2,3.2,1.9,3.25,3.5,2.1,3.3,3.1,2008,2009,2008,Belgium,Belgium Jupiler League,SV Zulte-Waregem,Beerschot AC,Draw
324,1,2009/2010,11,2009-10-17,665429,10000,9993,4,0,1.91,3.3,3.8,1.95,3.25,3.55,2.1,3.2,2.9,1.91,3.25,3.4,2.0,3.3,3.4,1.9,3.3,3.6,2009,2010,2009,Belgium,Belgium Jupiler League,SV Zulte-Waregem,Beerschot AC,Home
744,1,2010/2011,8,2010-09-22,838560,10000,9993,4,3,2.05,3.4,3.5,1.9,3.3,3.65,2.1,3.2,2.9,1.91,3.2,3.5,1.95,3.4,3.5,2.05,3.4,3.6,2010,2011,2010,Belgium,Belgium Jupiler League,SV Zulte-Waregem,Beerschot AC,Home
876,1,2011/2012,22,2012-01-25,1032867,10000,9993,1,0,2.0,3.4,3.75,1.95,3.3,3.8,2.0,3.3,3.2,2.1,3.2,3.0,1.95,3.25,3.75,1.95,3.5,4.0,2011,2012,2012,Belgium,Belgium Jupiler League,SV Zulte-Waregem,Beerschot AC,Home
1072,1,2012/2013,18,2012-12-01,1224122,10000,9993,0,0,1.55,3.8,6.5,1.55,3.9,5.0,1.5,3.8,5.5,1.5,4.0,5.5,1.55,3.8,5.5,1.53,4.33,6.25,2012,2013,2012,Belgium,Belgium Jupiler League,SV Zulte-Waregem,Beerschot AC,Draw
264,1,2008/2009,5,2008-09-20,492519,9984,9993,1,0,2.0,3.25,3.5,2.1,3.2,3.15,2.0,3.1,3.2,1.91,3.2,3.5,2.0,3.2,3.2,2.0,3.25,3.25,2008,2009,2008,Belgium,Belgium Jupiler League,KSV Cercle Brugge,Beerschot AC,Home
498,1,2009/2010,7,2009-09-19,665374,9984,9993,1,2,2.25,3.3,2.88,2.15,3.3,3.0,2.1,3.2,2.9,2.1,3.2,3.0,2.1,3.2,3.0,2.25,3.25,2.8,2009,2010,2009,Belgium,Belgium Jupiler League,KSV Cercle Brugge,Beerschot AC,Away
588,1,2010/2011,17,2010-11-27,838689,9984,9993,1,1,1.73,3.6,4.75,1.7,3.4,4.5,1.7,3.3,4.0,1.73,3.4,4.0,1.73,3.6,4.33,1.67,3.75,5.25,2010,2011,2010,Belgium,Belgium Jupiler League,KSV Cercle Brugge,Beerschot AC,Draw
971,1,2011/2012,6,2011-09-10,1032738,9984,9993,2,1,1.83,3.5,4.33,1.85,3.4,4.0,1.85,3.3,3.6,1.83,3.3,3.6,1.91,3.4,3.6,1.91,3.4,4.0,2011,2012,2011,Belgium,Belgium Jupiler League,KSV Cercle Brugge,Beerschot AC,Home
1036,1,2012/2013,13,2012-10-31,1224086,9984,9993,3,1,2.2,3.4,3.2,2.3,3.2,2.8,2.3,3.2,2.7,2.3,3.25,2.75,2.4,3.3,2.7,2.38,3.4,2.9,2012,2013,2012,Belgium,Belgium Jupiler League,KSV Cercle Brugge,Beerschot AC,Home
144,1,2008/2009,23,2009-02-21,493015,9991,9993,1,3,1.66,3.4,5.0,1.7,3.1,4.8,1.7,3.3,4.0,1.67,3.4,4.33,1.67,3.3,4.5,1.75,3.4,4.0,2008,2009,2009,Belgium,Belgium Jupiler League,KAA Gent,Beerschot AC,Away
339,1,2009/2010,13,2009-11-01,665541,9991,9993,0,1,1.7,3.6,5.0,1.75,3.4,4.2,1.7,3.3,4.0,1.72,3.4,4.0,1.8,3.4,4.0,1.7,3.4,4.5,2009,2010,2009,Belgium,Belgium Jupiler League,KAA Gent,Beerschot AC,Away
719,1,2010/2011,5,2010-08-29,838519,9991,9993,1,0,1.53,3.6,6.0,1.45,4.0,6.25,1.55,3.6,4.6,1.5,3.6,5.5,1.5,3.8,6.0,1.53,3.8,5.5,2010,2011,2010,Belgium,Belgium Jupiler League,KAA Gent,Beerschot AC,Home
828,1,2011/2012,17,2011-12-10,1032827,9991,9993,0,1,1.33,5.0,9.0,1.35,4.4,9.0,1.35,4.0,7.0,1.36,4.0,7.0,1.4,4.0,8.0,1.33,5.0,9.5,2011,2012,2011,Belgium,Belgium Jupiler League,KAA Gent,Beerschot AC,Away
1135,1,2012/2013,25,2013-02-02,1224177,9991,9993,2,1,1.44,4.33,7.0,1.45,4.1,6.0,1.45,3.9,6.0,1.4,3.75,7.0,1.4,4.2,7.0,1.45,4.5,7.0,2012,2013,2013,Belgium,Belgium Jupiler League,KAA Gent,Beerschot AC,Home
99,1,2008/2009,19,2009-01-24,492819,7947,9993,0,1,3.2,3.25,2.1,2.75,3.2,2.3,2.5,3.2,2.3,2.6,3.2,2.37,2.5,3.25,2.4,2.9,3.2,2.25,2008,2009,2009,Belgium,Belgium Jupiler League,FCV Dender EH,Beerschot AC,Away
69,1,2008/2009,16,2008-12-12,492724,8203,9993,2,1,2.5,3.3,2.75,2.2,3.25,2.95,2.3,3.1,2.6,2.37,3.2,2.6,2.25,3.2,2.75,2.25,3.2,2.8,2008,2009,2008,Belgium,Belgium Jupiler League,KV Mechelen,Beerschot AC,Home
382,1,2009/2010,19,2010-02-02,665634,8203,9993,1,0,2.4,3.25,2.9,2.35,3.15,2.8,2.2,3.1,2.8,2.3,3.3,2.6,2.2,3.3,3.0,2.3,3.2,2.88,2009,2010,2010,Belgium,Belgium Jupiler League,KV Mechelen,Beerschot AC,Home
