id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,year,team_long_name,team_short_name
1,9930,2010-02-22,60,Balanced,50,Mixed,Organised,60,Normal,65,Normal,55,Normal,Organised,50,Medium,55,Press,45,Normal,Cover,2010,FC Aarau,AAR
2,9930,2014-09-19,52,Balanced,56,Mixed,Organised,54,Normal,63,Normal,64,Normal,Organised,47,Medium,44,Press,54,Normal,Cover,2014,FC Aarau,AAR
3,9930,2015-09-10,47,Balanced,54,Mixed,Organised,54,Normal,63,Normal,64,Normal,Organised,47,Medium,44,Press,54,Normal,Cover,2015,FC Aarau,AAR
4,8485,2010-02-22,70,Fast,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover,2010,Aberdeen,ABE
5,8485,2011-02-22,47,Balanced,52,Mixed,Organised,53,Normal,48,Normal,52,Normal,Organised,47,Medium,47,Press,52,Normal,Cover,2011,Aberdeen,ABE
6,8485,2012-02-22,58,Balanced,62,Mixed,Organised,45,Normal,70,Lots,55,Normal,Organised,40,Medium,40,Press,60,Normal,Cover,2012,Aberdeen,ABE
7,8485,2013-09-20,62,Balanced,45,Mixed,Organised,40,Normal,50,Normal,55,Normal,Organised,42,Medium,42,Press,60,Normal,Cover,2013,Aberdeen,ABE
8,8485,2014-09-19,58,Balanced,62,Mixed,Organised,56,Normal,68,Lots,57,Normal,Organised,41,Medium,42,Press,60,Normal,Cover,2014,Aberdeen,ABE
9,8485,2015-09-10,59,Balanced,53,Mixed,Organised,51,Normal,72,Lots,63,Normal,Free Form,49,Medium,45,Press,63,Normal,Cover,2015,Aberdeen,ABE
10,8576,2010-02-22,60,Balanced,40,Mixed,Organised,45,Normal,35,Normal,55,Normal,Organised,30,Deep,70,Double,30,Narrow,Offside Trap,2010,AC Ajaccio,AJA
11,8576,2011-02-22,65,Balanced,45,Mixed,Organised,65,Normal,65,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2011,AC Ajaccio,AJA
12,8576,2012-02-22,59,Balanced,52,Mixed,Organised,48,Normal,34,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2012,AC Ajaccio,AJA
13,8576,2013-09-20,59,Balanced,52,Mixed,Organised,48,Normal,34,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2013,AC Ajaccio,AJA
14,8576,2014-09-19,59,Balanced,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2014,AC Ajaccio,AJA
15,8576,2015-09-10,59,Balanced,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,2015,AC Ajaccio,AJA
